0.000000000000000000e+00;-0.000000000000000000e+00;-0.000000000000000000e+00;1.000000000000000000e+00
9.999999747378751636e-05;2.000000094994902611e-03;-3.144200146198272705e-02;1.000000000000000000e+00
1.999999949475750327e-04;4.000000189989805222e-03;-6.229956075549125671e-02;1.000000000000000000e+00
3.499999875202775002e-04;7.000000216066837311e-03;-1.025402769446372986e-01;1.000000000000000000e+00
5.750000127591192722e-04;1.150000002235174179e-02;-1.136185973882675171e-01;1.000000000000000000e+00
9.125000215135514736e-04;1.824999973177909851e-02;-2.196608483791351318e-01;1.000000000000000000e+00
1.418750034645199776e-03;2.837499976158142090e-02;-3.785723149776458740e-01;1.000000000000000000e+00
2.178125083446502686e-03;4.356250166893005371e-02;-6.169289350509643555e-01;1.000000000000000000e+00
3.317187540233135223e-03;6.634374707937240601e-02;-9.744501709938049316e-01;1.000000000000000000e+00
5.025781225413084030e-03;1.005156263709068298e-01;-1.510694146156311035e+00;1.000000000000000000e+00
7.588671986013650894e-03;1.517734378576278687e-01;-2.314978122711181641e+00;1.000000000000000000e+00
1.143300812691450119e-02;2.286601513624191284e-01;-3.521232128143310547e+00;1.000000000000000000e+00
1.719951257109642029e-02;3.439902365207672119e-01;-5.330266475677490234e+00;1.000000000000000000e+00
2.584926784038543701e-02;5.169853568077087402e-01;-8.043174743652343750e+00;1.000000000000000000e+00
3.584926575422286987e-02;7.169853448867797852e-01;-1.117884159088134766e+01;1.000000000000000000e+00
4.584926739335060120e-02;9.169853329658508301e-01;-1.431397628784179688e+01;1.000000000000000000e+00
5.584926903247833252e-02;1.116985321044921875e+00;-1.744890403747558594e+01;1.000000000000000000e+00
6.584926694631576538e-02;1.316985368728637695e+00;-2.058396720886230469e+01;1.000000000000000000e+00
7.584926486015319824e-02;1.516985297203063965e+00;-2.371949195861816406e+01;1.000000000000000000e+00
8.584927022457122803e-02;1.716985344886779785e+00;-2.685580444335937500e+01;1.000000000000000000e+00
9.584926813840866089e-02;1.916985392570495605e+00;-2.999322891235351562e+01;1.000000000000000000e+00
1.058492660522460938e-01;2.116985321044921875e+00;-3.313209152221679688e+01;1.000000000000000000e+00
1.158492639660835266e-01;2.316985368728637695e+00;-3.627272033691406250e+01;1.000000000000000000e+00
1.258492618799209595e-01;2.516985416412353516e+00;-3.941544342041015625e+01;1.000000000000000000e+00
1.358492672443389893e-01;2.716985464096069336e+00;-4.256058502197265625e+01;1.000000000000000000e+00
1.458492726087570190e-01;2.916985273361206055e+00;-4.570847702026367188e+01;1.000000000000000000e+00
1.558492630720138550e-01;3.116985321044921875e+00;-4.885944747924804688e+01;1.000000000000000000e+00
1.658492684364318848e-01;3.316985368728637695e+00;-5.201382446289062500e+01;1.000000000000000000e+00
1.758492738008499146e-01;3.516985416412353516e+00;-5.517193984985351562e+01;1.000000000000000000e+00
1.858492642641067505e-01;3.716985464096069336e+00;-5.833413314819335938e+01;1.000000000000000000e+00
1.958492696285247803e-01;3.916985273361206055e+00;-6.150072860717773438e+01;1.000000000000000000e+00
2.058492749929428101e-01;4.116985321044921875e+00;-6.467206573486328125e+01;1.000000000000000000e+00
2.158492654561996460e-01;4.316985130310058594e+00;-6.784848785400390625e+01;1.000000000000000000e+00
2.258492708206176758e-01;4.516985416412353516e+00;-7.103032684326171875e+01;1.000000000000000000e+00
2.358492612838745117e-01;4.716985225677490234e+00;-7.421792602539062500e+01;1.000000000000000000e+00
2.458492666482925415e-01;4.916985511779785156e+00;-7.741162109375000000e+01;1.000000000000000000e+00
2.558492720127105713e-01;5.116985321044921875e+00;-8.061177062988281250e+01;1.000000000000000000e+00
2.658492624759674072e-01;5.316985130310058594e+00;-8.381871032714843750e+01;1.000000000000000000e+00
2.758492529392242432e-01;5.516985416412353516e+00;-8.703279113769531250e+01;1.000000000000000000e+00
2.858492732048034668e-01;5.716985225677490234e+00;-9.025437164306640625e+01;1.000000000000000000e+00
2.958492636680603027e-01;5.916985511779785156e+00;-9.348380279541015625e+01;1.000000000000000000e+00
3.058492541313171387e-01;6.116985321044921875e+00;-9.672144317626953125e+01;1.000000000000000000e+00
3.158492743968963623e-01;6.316985130310058594e+00;-9.996765136718750000e+01;1.000000000000000000e+00
3.258492648601531982e-01;6.516985416412353516e+00;-1.032227935791015625e+02;1.000000000000000000e+00
3.358492553234100342e-01;6.716985225677490234e+00;-1.064872360229492188e+02;1.000000000000000000e+00
3.458492755889892578e-01;6.916985511779785156e+00;-1.097613449096679688e+02;1.000000000000000000e+00
3.558492660522460938e-01;7.116985321044921875e+00;-1.130455017089843750e+02;1.000000000000000000e+00
3.658492565155029297e-01;7.316985130310058594e+00;-1.163373031616210938e+02;1.000000000000000000e+00
3.758492767810821533e-01;7.516985416412353516e+00;-1.196337966918945312e+02;1.000000000000000000e+00
3.858492672443389893e-01;7.716985225677490234e+00;-1.229327239990234375e+02;1.000000000000000000e+00
3.958492577075958252e-01;7.916985511779785156e+00;-1.262305374145507812e+02;1.000000000000000000e+00
4.058492779731750488e-01;8.116985321044921875e+00;-1.295220031738281250e+02;1.000000000000000000e+00
4.158492684364318848e-01;8.316985130310058594e+00;-1.327894897460937500e+02;1.000000000000000000e+00
4.258492588996887207e-01;8.516984939575195312e+00;-1.360312500000000000e+02;1.000000000000000000e+00
4.358492791652679443e-01;8.716985702514648438e+00;-1.392384185791015625e+02;1.000000000000000000e+00
4.458492696285247803e-01;8.916985511779785156e+00;-1.423984985351562500e+02;1.000000000000000000e+00
4.558492600917816162e-01;9.116985321044921875e+00;-1.454992370605468750e+02;1.000000000000000000e+00
4.658492803573608398e-01;9.316985130310058594e+00;-1.485346069335937500e+02;1.000000000000000000e+00
4.758492708206176758e-01;9.516984939575195312e+00;-1.515166625976562500e+02;1.000000000000000000e+00
4.858492612838745117e-01;9.716985702514648438e+00;-1.544504852294921875e+02;1.000000000000000000e+00
4.958492815494537354e-01;9.916985511779785156e+00;-1.573365783691406250e+02;1.000000000000000000e+00
5.058492422103881836e-01;1.011698532104492188e+01;-1.601559143066406250e+02;1.000000000000000000e+00
5.158492922782897949e-01;1.031698513031005859e+01;-1.629094543457031250e+02;1.000000000000000000e+00
5.258492827415466309e-01;1.051698493957519531e+01;-1.655987243652343750e+02;1.000000000000000000e+00
5.358492732048034668e-01;1.071698570251464844e+01;-1.682327880859375000e+02;1.000000000000000000e+00
5.458492636680603027e-01;1.091698551177978516e+01;-1.707991485595703125e+02;1.000000000000000000e+00
5.558492541313171387e-01;1.111698532104492188e+01;-1.732887573242187500e+02;1.000000000000000000e+00
5.658492445945739746e-01;1.131698513031005859e+01;-1.757033996582031250e+02;1.000000000000000000e+00
5.758492946624755859e-01;1.151698493957519531e+01;-1.780588989257812500e+02;1.000000000000000000e+00
5.858492851257324219e-01;1.171698570251464844e+01;-1.803589324951171875e+02;1.000000000000000000e+00
5.958492755889892578e-01;1.191698551177978516e+01;-1.826083984375000000e+02;1.000000000000000000e+00
6.058492660522460938e-01;1.211698532104492188e+01;-1.848018341064453125e+02;1.000000000000000000e+00
6.158492565155029297e-01;1.231698513031005859e+01;-1.868958740234375000e+02;1.000000000000000000e+00
6.258492469787597656e-01;1.251698493957519531e+01;-1.889233703613281250e+02;1.000000000000000000e+00
6.358492970466613770e-01;1.271698570251464844e+01;-1.908615875244140625e+02;1.000000000000000000e+00
6.458492875099182129e-01;1.291698551177978516e+01;-1.927235412597656250e+02;1.000000000000000000e+00
6.558492779731750488e-01;1.311698532104492188e+01;-1.944784088134765625e+02;1.000000000000000000e+00
6.658492684364318848e-01;1.331698513031005859e+01;-1.960767364501953125e+02;1.000000000000000000e+00
6.758492588996887207e-01;1.351698493957519531e+01;-1.975286102294921875e+02;1.000000000000000000e+00
6.858492493629455566e-01;1.371698570251464844e+01;-1.984944763183593750e+02;1.000000000000000000e+00
6.883492469787597656e-01;1.376698493957519531e+01;-1.933256683349609375e+02;1.000000000000000000e+00
6.883492469787597656e-01;1.376698493957519531e+01;-1.933753509521484375e+02;1.000000000000000000e+00
